SelectFeature,SelectFeature
positiveIncrease,New Cases
deathIncrease,New Deaths
hospitalizedIncrease,New Hospitalizations
totalTestResultsIncrease,New Tests
daily_vaccinations,New Vaccinations
daily_vaccinations_per_million,New Vaccinations / Million
PopulationStayingatHome,Population at Home
NumberofTrips,New Trips
NumberofTrips500miles,New 500 mile Trips
retail_and_recreation_percent_change_from_baseline,Mobility %Change: Retail/Recreation
workplaces_percent_change_from_baseline,Mobility %Change: Workplaces
residential_percent_change_from_baseline,Mobility %Change: Residential Areas
